а	1
б	3
в	6
г	1
д	4
е	3
ж	0
з	0
и	4
й	0
к	8
л	4
м	4
н	7
о	10
п	10
р	6
с	7
т	1
у	1
ф	0
х	1
ц	1
ч	3
ш	0
щ	0
ъ	0
ы	0
ь	0
э	2
ю	0
я	0
ё	0
